"eventid";"success";"date";"gname";"individual";"phenomenon_area";"city";"latitude";"longitude";"dayunclear";"locationunclear";"doubtterr";"alternative_txt";"nkill";"nwound";"nkillter";"nwoundte";"attacktype1_txt";"attacktype2_txt";"targtype1_txt";"targtype2_txt";"targtype3_txt";"target1";"target2";"target3";"corp1";"corp2";"corp3";"weaptype1_txt";"weapsubtype1_txt";"weaptype2_txt";"weapsubtype2_txt";"weaptype3_txt";"weapsubtype3_txt";"weapdetail";"suicide"
197006230001;1;1970-06-23;"Unknown";0;"Uncategorized";"West Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Government (General)";NA;NA;"District Office Schoneberg";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197007090001;1;1970-07-09;"Unknown";0;"Uncategorized";"Munich";48,139126;11,580186;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Government (General)";NA;NA;"State Supreme Court";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197008070001;1;1970-08-07;"SFT";0;"Uncategorized";"Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Government (General)";NA;NA;"German Court";NA;NA;NA;NA;NA;"Explosives";"Pipe Bomb";NA;NA;NA;NA;NA;0
197008120001;1;1970-08-12;"Unknown";0;"Uncategorized";"Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Police";NA;NA;"private vehicles";NA;NA;NA;NA;NA;"Explosives";"Pipe Bomb";NA;NA;NA;NA;NA;0
197008140001;1;1970-08-14;"Unknown";0;"Uncategorized";"Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Police";NA;NA;"Police Vehicle";NA;NA;NA;NA;NA;"Explosives";"Pipe Bomb";NA;NA;NA;NA;NA;0
197008270001;1;1970-08-27;"Unknown";0;"Uncategorized";"Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Business";NA;NA;"Bank fur German ??";NA;NA;NA;NA;NA;"Explosives";"Pipe Bomb";NA;NA;NA;NA;NA;0
197009060001;1;1970-09-06;"Popular Front for the Liberation of Palestine (PFLP)";0;"Foreign Extremism";"Frankfurt";50,11797;8,644191;0;0;0;NA;NA;NA;NA;NA;"Hijacking";NA;"Airports & Aircraft";NA;NA;"Flight 741 Boeing 707";NA;NA;"Trans World Airline";NA;NA;"Explosives";"Grenade";"Firearms";"Unknown Gun Type";NA;NA;"Grenades; Firearms";0
197009090001;1;1970-09-09;"Extraparliamentary Opposition (APO)";0;"Left-Wing Extremism";"Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Private Citizens & Property";NA;NA;"U.S. Vehicles";NA;NA;NA;NA;NA;"Explosives";"Pipe Bomb";NA;NA;NA;NA;NA;0
197009240002;1;1970-09-24;"Unknown";0;"Uncategorized";"Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Government (Diplomatic)";NA;NA;"Consulate";NA;NA;NA;NA;NA;"Explosives";"Pipe Bomb";NA;NA;NA;NA;NA;0
197010080006;1;1970-10-08;"Students for a Democratic Society (SDS) (German)";0;"Left-Wing Extremism";"Stuttgart";48,777106;9,180769;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Government (Diplomatic)";NA;NA;"USIS Office";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197010140002;1;1970-10-14;"Unknown";0;"Uncategorized";"Munich";48,139126;11,580186;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Police";NA;NA;"Vehicles of police unit #1";NA;NA;NA;NA;NA;"Explosives";"Pipe Bomb";NA;NA;NA;NA;NA;0
197010170001;1;1970-10-17;"Unknown";0;"Uncategorized";"Munich";48,139126;11,580186;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Police";NA;NA;"police vehicles";NA;NA;NA;NA;NA;"Explosives";"Pipe Bomb";NA;NA;NA;NA;NA;0
197011070001;1;1970-11-07;"Unknown";0;"Uncategorized";"Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Religious Figures/Institutions";NA;NA;"Jewish Community Center";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197011090001;1;1970-11-09;"Baader-Meinhof Group";0;"Left-Wing Extremism";"Frankfurt";50,11797;8,644191;0;0;1;"Insurgency/Guerilla Action";NA;NA;NA;NA;"Armed Assault";NA;"Military";NA;NA;"5 U.S. Army vehicles";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197011290001;1;1970-11-29;"Unknown";0;"Uncategorized";"Frankfurt";50,11797;8,644191;0;0;1;"Insurgency/Guerilla Action";NA;NA;NA;NA;"Armed Assault";NA;"Military";NA;NA;"Army Vehicles";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197012310001;1;1970-12-31;"Socialist Patients' Collective (SPK)";0;"Uncategorized";"Wiesloch";49,294642;8,69774;0;0;0;NA;NA;NA;NA;NA;"Armed Assault";NA;"Business";NA;NA;"Psychiatric Clinic";NA;NA;NA;NA;NA;"Firearms";"Automatic or Semi-Automatic Rifle";NA;NA;NA;NA;"Automatic firearm";0
197101040001;1;1971-01-04;"Unknown";0;"Uncategorized";"Munich";48,139126;11,580186;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Police";NA;NA;"Police Van";NA;NA;NA;NA;NA;"Explosives";"Time Fuse";"Explosives";"Unknown Explosive Type";NA;NA;"Explosive; Pipe bomb with a timer fuse";0
197101080002;1;1971-01-08;"Unknown";0;"Uncategorized";"Munich";48,139126;11,580186;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Police";NA;NA;"Police Station";NA;NA;NA;NA;NA;"Explosives";"Time Fuse";"Explosives";"Unknown Explosive Type";NA;NA;"Explosive; Pipe bomb with a timer fuse";0
197101130002;1;1971-01-13;"Unknown";0;"Uncategorized";"Munich";48,139126;11,580186;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Police";NA;NA;"Police Station";NA;NA;NA;NA;NA;"Incendiary";NA;"Incendiary";"Molotov Cocktail/Petrol Bomb";NA;NA;"Incendiary; Molotov cocktail";0
197101160001;1;1971-01-16;"Unknown";0;"Uncategorized";"Munich";48,139126;11,580186;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Government (Diplomatic)";NA;NA;"Amerika Hans";NA;NA;NA;NA;NA;"Explosives";"Pipe Bomb";"Explosives";"Unknown Explosive Type";NA;NA;"Explosive; Pipe bomb";0
197101290001;0;1971-01-29;"Unknown";0;"Uncategorized";"Munich";48,139126;11,580186;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Government (General)";NA;NA;"Justice Building";NA;NA;NA;NA;NA;"Explosives";"Time Fuse";"Explosives";"Unknown Explosive Type";NA;NA;"Explosive; Pipe bomb with a timer fuse";0
197102060001;1;1971-02-06;"Unknown";0;"Uncategorized";"Frankfurt";50,11797;8,644191;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Educational Institution";NA;NA;"Law Seminar of University";NA;NA;NA;NA;NA;"Explosives";"Time Fuse";"Explosives";"Unknown Explosive Type";NA;NA;"Explosive; Pipe bomb with a timer fuse";0
197103090002;1;1971-03-09;"Baader-Meinhof Group";0;"Left-Wing Extremism";"Munich";48,139126;11,580186;0;0;0;NA;NA;NA;NA;NA;"Armed Assault";NA;"Business";NA;NA;"Bank";NA;NA;NA;NA;NA;"Firearms";"Automatic or Semi-Automatic Rifle";NA;NA;NA;NA;"Automatic firearm";0
197103100002;1;1971-03-10;"Socialist Patients' Collective (SPK)";0;"Uncategorized";"Heidelberg";49,4019;8,680285;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Government (General)";NA;NA;"Tax Office";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197103190001;1;1971-03-19;"Black Cells";0;"Uncategorized";"West Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Business";NA;NA;"Savings and Loan of City of W. Berlin";NA;NA;NA;NA;NA;"Incendiary";NA;"Incendiary";"Molotov Cocktail/Petrol Bomb";NA;NA;"Incendiary; Molotov cocktail";0
197105060001;1;1971-05-06;"Unknown";0;"Uncategorized";"West Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Business";NA;NA;"Kaufhaus des Westens (Dept. Store)";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";"Incendiary";NA;NA;NA;"Explosive; Incendiary";0
197105170002;1;1971-05-17;"Unknown";0;"Uncategorized";"Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Police";NA;NA;"Police Station";NA;NA;NA;NA;NA;"Incendiary";NA;"Incendiary";"Molotov Cocktail/Petrol Bomb";NA;NA;"Incendiary; Molotov cocktail";0
197105180001;1;1971-05-18;"Unknown";0;"Uncategorized";"Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Police";NA;NA;"Police Stations (2)";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197105180002;1;1971-05-18;"Unknown";0;"Uncategorized";"Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Police";NA;NA;"Police Stations (2)";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197105180003;0;1971-05-18;"Unknown";0;"Uncategorized";"Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Police";NA;NA;"Police Station";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197109230002;1;1971-09-23;"Baader-Meinhof Group";0;"Left-Wing Extremism";"West Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Government (General)";NA;NA;"Court Bldg Charlottenburg";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197111200001;1;1971-11-20;"Unknown";0;"Uncategorized";"West Berlin";52,50153;13,401851;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Business";NA;NA;"Consumer Market/ Store";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197111290002;1;1971-11-29;"2nd of June Movement";0;"Left-Wing Extremism";"West Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Armed Assault";NA;"Educational Institution";NA;NA;"Berlin Technical Univ. Cashier";NA;NA;NA;NA;NA;"Firearms";"Handgun";NA;NA;NA;NA;"Pistols";0
197202020001;1;1972-02-02;"2nd of June Movement";0;"Left-Wing Extremism";"Kladow";52,50153;13,401851;0;0;0;NA;1;NA;NA;NA;"Bombing/Explosion";NA;"Maritime";NA;NA;"yacht harbor (club)";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197202080001;1;1972-02-08;"Black September";0;"Foreign Extremism";"Hamburg";53,553813;9,991586;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Utilities";NA;NA;"electrical generator plant";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197202220001;1;1972-02-22;"Black September";0;"Foreign Extremism";"Hamburg";53,553813;9,991586;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Utilities";NA;NA;"oil pipeline";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197204110001;1;1972-04-11;"Unknown";0;"Uncategorized";"West Berlin";52,50153;13,401851;0;0;1;"Insurgency/Guerilla Action";NA;NA;NA;NA;"Armed Assault";NA;"Military";NA;NA;"U.S. military members vehicle";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197204110002;0;1972-04-11;"Unknown";0;"Uncategorized";"Unknown";54,193719;7,58229;0;1;1;"Insurgency/Guerilla Action";NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Military";NA;NA;"Officers Club";NA;NA;NA;NA;NA;"Incendiary";"Arson/Fire";NA;NA;NA;NA;"Arson";0
197204230001;0;1972-04-23;"Unknown";0;"Uncategorized";"West Berlin";52,50153;13,401851;0;0;1;"Insurgency/Guerilla Action";NA;NA;NA;NA;"Bombing/Explosion";NA;"Military";NA;NA;"USAF C-54 display";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197205040002;0;1972-05-04;"Unknown";0;"Uncategorized";"West Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Government (Diplomatic)";NA;NA;"turkish consulate";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197205110001;1;1972-05-11;"Baader-Meinhof Group";0;"Left-Wing Extremism";"Frankfurt";50,11797;8,644191;0;0;1;"Insurgency/Guerilla Action";1;13;NA;NA;"Bombing/Explosion";NA;"Military";NA;NA;"V corps HQ U.S.  Army officers club";NA;NA;NA;NA;NA;"Explosives";"Other Explosive Type";"Explosives";"Unknown Explosive Type";NA;NA;"Explosive; Plastic explosive";0
197205120005;1;1972-05-12;"Baader-Meinhof Group";0;"Left-Wing Extremism";"Munich";48,139126;11,580186;0;0;0;NA;NA;1;NA;NA;"Bombing/Explosion";NA;"Police";NA;NA;"bavarian LKA and police presidium";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197205150001;1;1972-05-15;"Baader-Meinhof Group";0;"Left-Wing Extremism";"Karlsruhe";49,008085;8,403756;0;0;0;NA;NA;1;NA;NA;"Assassination";NA;"Government (General)";NA;NA;"car of wife of  judge wolfgang buddenberg";NA;NA;NA;NA;NA;"Explosives";"Vehicle";NA;NA;NA;NA;"Explosive - pressure activated";0
197205190001;1;1972-05-19;"Baader-Meinhof Group";0;"Left-Wing Extremism";"Hamburg";53,553813;9,991586;0;0;0;NA;NA;24;NA;NA;"Bombing/Explosion";NA;"Journalists & Media";NA;NA;"springer press-office building";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197205240001;1;1972-05-24;"Baader-Meinhof Group";0;"Left-Wing Extremism";"Heidelberg";49,4019;8,680285;0;0;1;"Insurgency/Guerilla Action";3;6;NA;NA;"Bombing/Explosion";NA;"Military";NA;NA;"USAREUR HQ 7th avg";NA;NA;NA;NA;NA;"Explosives";"Vehicle";NA;NA;NA;NA;"Explosive; Plastic explosive";0
197206150001;1;1972-06-15;"Croatian Nationalists";0;"Foreign Extremism";"Munich";48,139126;11,580186;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Government (Diplomatic)";NA;NA;"yugoslav consulate";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197207150001;1;1972-07-15;"Unknown";0;"Uncategorized";"Hamburg";53,553813;9,991586;0;0;-9;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Business";NA;NA;"department store";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197207150002;1;1972-07-15;"Unknown";0;"Uncategorized";"Hamburg";53,553813;9,991586;0;0;-9;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Business";NA;NA;"department store";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197207150003;1;1972-07-15;"Unknown";0;"Uncategorized";"Hamburg";53,553813;9,991586;0;0;-9;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Business";NA;NA;"department store";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197207150004;1;1972-07-15;"Unknown";0;"Uncategorized";"Hamburg";53,553813;9,991586;0;0;-9;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Business";NA;NA;"department store";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197209050002;1;1972-09-05;"Black September";0;"Foreign Extremism";"Munich";48,139126;11,580186;0;0;0;NA;16;NA;5;NA;"Assassination";NA;"Private Citizens & Property";NA;NA;"Israeli Olympic Team";NA;NA;NA;NA;NA;"Firearms";"Automatic or Semi-Automatic Rifle";NA;NA;NA;NA;"Automatic firearms";0
197210020001;1;1972-10-02;"Palestinians";0;"Foreign Extremism";"Bonn";50,732674;7,096299;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Government (Diplomatic)";NA;NA;"israeli embassy";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197211240001;1;1972-11-24;"Unknown";0;"Uncategorized";"Frankfurt";50,11797;8,644191;0;0;-9;NA;1;NA;1;NA;"Hijacking";NA;"Airports & Aircraft";NA;NA;"DC-8";NA;NA;"Air Canada";NA;NA;"Unknown";NA;NA;NA;NA;NA;NA;0
197211300001;0;1972-11-30;"Baader-Meinhof Group";0;"Left-Wing Extremism";"Kronberg im Taunus";50,179683;8,508595;0;0;0;NA;NA;NA;NA;NA;"Assassination";NA;"Government (General)";NA;NA;"Treasurer, Walter Leisker Klep";NA;NA;"Christian Democratic Union";NA;NA;"Unknown";NA;NA;NA;NA;NA;NA;0
197212140001;1;1972-12-14;"Baader-Meinhof Group";0;"Left-Wing Extremism";"Dusseldorf";51,213924;6,780691;0;0;0;NA;1;NA;NA;NA;"Assassination";NA;"Police";NA;NA;"Policeman";NA;NA;"Duesseldorf Police";NA;NA;"Firearms";"Handgun";NA;NA;NA;NA;"Pistol";0
197212150002;1;1972-12-15;"2nd of June Movement";0;"Left-Wing Extremism";"West Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Armed Assault";NA;"Business";NA;NA;"Bank";NA;NA;NA;NA;NA;"Firearms";"Handgun";NA;NA;NA;NA;"Pistols";0
197212240001;1;1972-12-24;"Unknown";0;"Uncategorized";"West Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Military";NA;NA;"US berlin brigade NCO club";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197301100001;1;1973-01-10;"Unknown";0;"Uncategorized";"Frankfurt";50,11797;8,644191;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Government (General)";NA;NA;NA;NA;NA;"USIS Amerika Haus";NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197301110001;1;1973-01-11;"Popular Front for the Liberation of Palestine (PFLP)";0;"Foreign Extremism";"Kaiserslautern";49,4447;7,769004;0;0;0;NA;1;NA;NA;NA;"Armed Assault";NA;"Business";NA;NA;"Restaurant";NA;NA;NA;NA;NA;"Firearms";"Handgun";"Firearms";"Handgun";NA;NA;"Pistol; Revolver";0
197303210001;1;1973-03-21;"Unknown";0;"Uncategorized";"Frankfurt";50,11797;8,644191;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Government (Diplomatic)";NA;NA;NA;NA;NA;"US Consulate";NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197303210002;1;1973-03-21;"Unknown";0;"Uncategorized";"Frankfurt";50,11797;8,644191;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Government (Diplomatic)";NA;NA;"U.S. Consulate General";NA;NA;NA;NA;NA;"Incendiary";NA;"Firearms";"Handgun";NA;NA;"Incendiary; Pistol";0
197304230001;1;1973-04-23;"Unknown";0;"Uncategorized";"Frankfurt";50,11797;8,644191;0;0;-9;NA;NA;NA;NA;NA;"Facility/Infrastructure Attack";NA;"Government (Diplomatic)";NA;NA;"U.S. Consulate";NA;NA;NA;NA;NA;"Incendiary";NA;NA;NA;NA;NA;"Incendiary";0
197306060002;1;1973-06-06;"Baader-Meinhof Group";0;"Left-Wing Extremism";"Kaiserslautern";49,4447;7,769004;0;0;0;NA;NA;NA;NA;NA;"Assassination";NA;"Government (General)";NA;NA;"judge residence";NA;NA;NA;NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197306090001;1;1973-06-09;"Black September";0;"Foreign Extremism";"West Berlin";52,50153;13,401851;0;0;0;NA;NA;NA;NA;NA;"Bombing/Explosion";NA;"Business";NA;NA;"Arnis Plant";NA;NA;"Fritz Werner GMBH";NA;NA;"Explosives";"Unknown Explosive Type";NA;NA;NA;NA;"Explosive";0
197307070001;0;1973-07-07;"2nd of June Movement";0;"Left-Wing Extremism";"Bochum";51,482917;7,211808;0;0;0;NA;NA;1;NA;NA;"Armed Assault";NA;"Police";NA;NA;"unk, policeman";NA;NA;"Bochum Police";NA;NA;"Firearms";"Handgun";NA;NA;NA;NA;"Pistol";0
